"Regiao","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185"
11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.75,1.05,1.78,2.08,2.23,2.46,2.87,3.56,4.72,7.02,8.43,9.53,10.87,12.07,12.88,14.2,15.4,17.29,19.23,24.29,27.79,30.79,33.72,39.52,40.82,44.98,48.25,52.52,56.17,58.73,64.87,67.01,68.18,69.36,70,70.61,71.06,71.52,72.06,72.57,72.88,73.33,73.69,74.13,74.66,75.05,75.32,75.5,75.61,75.7,75.82,76.06,76.36,76.71,77.1,77.36,77.57,77.66,77.81,77.91,77.99,78.06,78.14,78.19,78.23,78.27,78.31,78.36,78.39,78.44,78.49,78.56,78.6,78.74,78.83,78.93,78.98,79.06,79.16,79.21,79.27,79.38,79.44,79.48,79.5,79.55,79.57,79.59,79.61,79.63,79.66,79.68,79.7,79.72,79.75,79.81,79.87,79.92,79.95,79.97,79.98,79.99,80.01,80.05,80.07,80.08,80.1,80.13,80.14,80.16,80.18,80.2,80.23,80.25,80.27,80.3,80.32,80.33,80.34,80.37,80.4,80.42,80.44,80.45,80.46,80.48,80.49,80.51,80.51,80.52,80.52,80.54,80.55,80.57,80.58,80.59,80.59,80.6,80.6
11002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,1.36,2.26,3.54,4.06,4.27,4.47,4.84,5.52,6.51,8.5,12.1,13.82,14.58,16.24,17.38,20.23,22.48,22.85,26.13,30.83,34.69,36.33,38.96,42.85,45.06,47.76,50.99,54.66,62.22,67.44,71.44,73.99,77,78.12,78.55,79.16,79.82,80.04,80.46,80.79,81.07,81.43,81.69,81.9,82.31,82.59,82.73,82.83,82.91,82.98,83.05,83.22,83.84,84.35,85.05,85.39,85.81,86.01,86.23,86.42,86.6,86.72,86.83,86.92,86.97,87.02,87.07,87.12,87.15,87.22,87.3,87.37,87.42,87.51,87.59,87.65,87.69,87.77,87.89,87.97,88.04,88.18,88.25,88.27,88.29,88.31,88.32,88.35,88.41,88.44,88.48,88.52,88.53,88.55,88.6,88.63,88.68,88.75,88.79,88.83,88.85,88.88,88.93,88.96,88.98,89.01,89.03,89.05,89.06,89.08,89.12,89.17,89.19,89.21,89.22,89.24,89.25,89.27,89.28,89.3,89.31,89.32,89.33,89.33,89.34,89.35,89.35,89.36,89.38,89.38,89.39,89.39,89.4,89.4,89.41,89.41,89.41,89.41,89.43
11003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.91,1.59,2.29,2.9,3.05,3.29,3.71,4.53,5.86,8.59,9.6,10.73,12.24,13.4,15.08,17.2,19.04,19.86,22.31,26.39,29.56,31.85,34.73,39.31,41.84,45.89,47.88,52.06,58.25,62.85,68.78,71.36,72.5,73.23,74.11,74.68,75.09,75.53,75.89,76.26,76.48,76.69,76.98,77.41,77.86,78.12,78.36,78.45,78.53,78.61,78.72,79.16,79.67,80.21,80.76,81.07,81.33,81.43,81.6,81.75,81.87,81.93,82.01,82.07,82.12,82.19,82.25,82.29,82.33,82.37,82.4,82.47,82.51,82.61,82.68,82.75,82.79,82.86,83.01,83.06,83.12,83.19,83.24,83.27,83.29,83.31,83.32,83.34,83.36,83.37,83.39,83.4,83.41,83.42,83.45,83.48,83.51,83.56,83.61,83.64,83.66,83.68,83.71,83.74,83.76,83.78,83.8,83.82,83.83,83.85,83.87,83.88,83.9,83.91,83.92,83.94,83.96,83.98,84,84.01,84.02,84.03,84.03,84.04,84.05,84.06,84.06,84.07,84.08,84.08,84.09,84.09,84.1,84.1,84.11,84.12,84.12,84.12,84.12
11004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,1.45,2.73,2.98,3.24,3.71,4.03,4.48,4.79,6.48,9.03,10.3,11.18,12.6,13.58,14.83,16.39,18.09,19.44,21.67,25.07,30.06,34.32,37.26,41.88,44.76,48.73,52.53,56.62,60.32,62.99,68.48,71.03,73.05,74.1,74.79,75.32,75.81,76.46,77.19,77.71,78.11,78.5,78.99,79.51,80.12,80.55,80.89,81.04,81.15,81.31,81.49,81.96,82.53,83.2,84,84.63,85.04,85.21,85.47,85.75,85.97,86.14,86.29,86.4,86.51,86.65,86.79,86.94,87.03,87.1,87.2,87.28,87.35,87.47,87.56,87.68,87.79,87.89,88.09,88.21,88.33,88.47,88.54,88.58,88.61,88.65,88.69,88.72,88.76,88.8,88.89,88.92,88.93,88.98,89.03,89.1,89.2,89.27,89.36,89.41,89.44,89.47,89.5,89.54,89.56,89.6,89.66,89.72,89.73,89.8,89.86,89.94,90,90.03,90.06,90.09,90.13,90.16,90.19,90.22,90.25,90.28,90.31,90.32,90.35,90.37,90.38,90.39,90.42,90.44,90.45,90.46,90.48,90.5,90.51,90.53,90.54,90.56,90.57
11005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0.89,1.48,2.13,2.97,3.2,3.57,4.13,4.5,5.72,7.48,10.14,10.88,12.12,13.85,14.89,15.56,16.89,18.5,19.9,22.97,26.19,29.87,34.31,39.09,44.26,48.09,51.83,54.82,61.78,65.82,69.47,73.54,74.65,75.32,75.87,76.41,76.89,77.26,77.89,78.21,78.45,78.79,79.06,79.19,79.74,79.95,80.13,80.19,80.26,80.34,80.39,80.63,81.09,82.32,83.17,83.7,84.16,84.35,84.57,84.86,85.03,85.11,85.2,85.28,85.35,85.42,85.46,85.51,85.53,85.57,85.63,85.71,85.75,85.8,85.84,85.91,85.97,86.02,86.26,86.36,86.44,86.6,86.69,86.74,86.76,86.78,86.81,86.84,86.86,86.88,86.9,86.93,86.94,86.96,86.97,87.01,87.07,87.13,87.18,87.22,87.23,87.26,87.35,87.41,87.44,87.44,87.48,87.52,87.55,87.56,87.59,87.62,87.66,87.67,87.69,87.71,87.73,87.76,87.77,87.77,87.79,87.8,87.81,87.82,87.83,87.83,87.84,87.84,87.85,87.86,87.87,87.87,87.87,87.88,87.88,87.89,87.89,87.9,87.9
11006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,1.08,1.56,2.61,2.89,3.07,3.32,3.69,4.15,5.24,7.28,9.84,10.22,11.71,13.21,14.11,15.28,16.35,17.37,19.76,23.25,26.03,29.96,32.15,37.07,38.69,42.39,45.21,48.48,56.93,62.17,66.17,70.2,71.02,71.56,72.5,73.57,74.44,74.82,75.55,76.26,76.58,76.86,77.13,77.43,78.06,78.33,78.55,78.66,78.75,78.84,78.93,79.07,79.79,80.33,80.91,81.44,81.72,81.82,81.96,82.06,82.14,82.33,82.39,82.47,82.53,82.61,82.66,82.73,82.76,82.81,82.92,82.98,83.03,83.12,83.19,83.28,83.35,83.46,83.59,83.64,83.73,83.88,83.94,83.96,84,84.03,84.04,84.07,84.09,84.1,84.13,84.15,84.16,84.18,84.22,84.25,84.29,84.36,84.4,84.44,84.45,84.47,84.53,84.56,84.58,84.61,84.62,84.65,84.66,84.68,84.7,84.73,84.75,84.77,84.78,84.82,84.86,84.89,84.92,84.94,84.97,84.99,85.01,85.02,85.03,85.05,85.06,85.07,85.08,85.09,85.1,85.1,85.11,85.13,85.13,85.15,85.15,85.16,85.18
11007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.37,0.66,1.12,1.68,1.92,2.08,2.36,2.7,3.43,5.6,8.65,9.91,10.49,10.78,11.38,12.61,13.47,15.81,17.09,20.15,23.57,26.79,28.15,32.4,34.94,41.81,44.29,47.41,49.33,52,55.7,60.71,62.45,63.74,64.65,65.49,66.17,66.67,67.32,67.81,68.04,68.41,68.62,68.78,68.97,69.17,69.46,69.59,69.68,69.79,69.9,69.97,70.15,70.67,71.65,72.23,72.72,72.86,73.18,73.33,73.46,73.54,73.63,73.65,73.69,73.79,73.81,73.91,73.93,73.96,74.02,74.1,74.13,74.24,74.31,74.4,74.45,74.55,74.8,74.86,75.04,75.18,75.23,75.26,75.27,75.38,75.44,75.46,75.47,75.53,75.62,75.65,75.67,75.69,75.71,75.74,75.79,75.86,75.92,75.98,76,76.07,76.13,76.16,76.21,76.21,76.24,76.28,76.32,76.37,76.41,76.43,76.44,76.49,76.5,76.53,76.6,76.64,76.66,76.67,76.7,76.73,76.75,76.77,76.78,76.78,76.79,76.8,76.81,76.81,76.82,76.84,76.86,76.87,76.88,76.91,76.92,76.93,76.94
12001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,1.23,1.67,2.02,2.27,2.59,3.72,4.36,4.87,6.41,8.11,9.14,10.13,10.59,11.1,11.96,12.86,13.83,14.83,15.92,17.82,22.08,26.48,32.01,35.66,38.16,40.09,41.58,43.55,48.56,50.45,52.69,54.1,54.76,55.76,56.8,57.76,58.33,58.81,59.29,59.73,60.22,60.68,60.95,61.67,62.51,63.27,64.18,64.53,64.67,65.04,65.53,66.57,67.38,67.93,68.83,69.9,70.61,70.94,71.41,71.83,72.3,72.53,72.81,72.96,73.23,73.61,73.92,74.14,74.27,74.48,74.63,74.76,74.83,75.04,75.21,75.33,75.49,75.62,75.76,75.89,76.02,76.22,76.37,76.49,76.58,76.65,76.72,76.75,76.78,76.81,76.84,76.88,76.92,76.97,77.1,77.17,77.23,77.28,77.33,77.37,77.38,77.43,77.53,77.56,77.6,77.64,77.68,77.72,77.76,77.86,77.92,77.98,78.05,78.09,78.12,78.16,78.2,78.26,78.31,78.32,78.36,78.42,78.49,78.52,78.54,78.57,78.67,78.7,78.75,78.78,78.79,78.8,78.81,78.83,78.86,78.88,78.9,78.94,78.97
12002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,1.15,1.43,1.87,2.3,3.45,4.53,5.17,5.74,7.14,9.53,10.83,11.66,12.12,12.41,13.66,15.66,17.54,18.5,19.86,22.67,30.29,35.47,38.77,43.35,45.01,49.46,53.53,56.61,61.92,64.52,66.43,67.67,68.43,69.52,70.23,70.89,71.54,71.85,72.21,72.47,72.67,72.98,73.28,73.56,74.13,74.74,75.28,75.59,75.72,75.95,76.21,76.9,77.93,78.63,79.53,80.23,80.94,81.26,81.77,82.18,82.59,83,83.39,83.54,83.69,83.88,84,84.1,84.18,84.26,84.34,84.47,84.55,84.71,84.89,85.07,85.28,85.51,85.79,85.99,86.12,86.24,86.35,86.41,86.45,86.52,86.56,86.6,86.62,86.65,86.69,86.71,86.74,86.8,86.86,86.94,87.01,87.1,87.2,87.26,87.3,87.33,87.38,87.41,87.46,87.49,87.54,87.62,87.64,87.7,87.75,87.8,87.87,87.91,87.94,87.97,88,88.04,88.06,88.09,88.11,88.13,88.15,88.17,88.18,88.19,88.2,88.21,88.22,88.24,88.25,88.26,88.27,88.28,88.29,88.3,88.31,88.32,88.32
12003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,1.73,2.48,2.84,3.08,3.33,4.58,5.05,5.59,6.71,7.82,9.36,10.32,11.11,11.84,13.14,14.98,16.02,17.06,18.18,19.87,23.64,29.64,33.53,36.44,38.83,41.96,45.4,47.57,51.96,54.93,56.78,58.17,58.91,59.74,60.51,61.18,61.88,62.24,62.68,63.09,63.68,64.26,64.63,65.06,65.51,65.98,66.44,66.75,66.89,67.07,67.32,68.04,68.84,69.75,70.51,71.58,72.48,73.14,73.6,74.28,74.83,75.14,75.54,75.71,75.98,76.33,76.63,76.81,76.98,77.13,77.32,77.46,77.55,77.73,77.89,78.06,78.22,78.43,78.84,79.27,79.43,79.64,79.81,79.97,80.02,80.18,80.29,80.32,80.37,80.4,80.45,80.5,80.53,80.58,80.63,80.7,80.79,80.88,80.98,81.03,81.06,81.09,81.12,81.15,81.21,81.3,81.32,81.39,81.44,81.52,81.59,81.73,81.86,81.95,81.96,82.01,82.13,82.15,82.18,82.21,82.29,82.41,82.59,82.61,82.63,82.68,82.75,82.79,82.82,82.85,82.92,82.96,83.01,83.04,83.07,83.11,83.12,83.12,83.15
