"code_saude_13","2020-12","2020-13","2020-14","2020-15","2020-16","2020-17","2020-18","2020-19","2020-20","2020-21","2020-22","2020-23","2020-24","2020-25","2020-26","2020-27","2020-28","2020-29","2020-30","2020-31","2020-32","2020-33","2020-34","2020-35","2020-36","2020-37","2020-38","2020-39","2020-40","2020-41","2020-42","2020-43","2020-44","2020-45","2020-46","2020-47","2020-48","2020-49","2020-50","2020-51","2020-52","2020-53","2021-01","2021-02","2021-03","2021-04","2021-05","2021-06","2021-07","2021-08","2021-09","2021-10","2021-11","2021-12","2021-13","2021-14","2021-15","2021-16","2021-17","2021-18","2021-19","2021-20","2021-21","2021-22","2021-23","2021-24","2021-25","2021-26","2021-27","2021-28","2021-29","2021-30","2021-31","2021-32","2021-33","2021-34","2021-35","2021-36","2021-37","2021-38","2021-39","2021-40","2021-41","2021-42","2021-43","2021-44","2021-45","2021-46","2021-47","2021-48","2021-49","2021-50","2021-51","2021-52","2022-01","2022-02","2022-03","2022-04","2022-05","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2022-13","2022-14","2022-15","2022-16","2022-17","2022-18","2022-19","2022-20","2022-21","2022-22","2022-23","2022-24","2022-25","2022-26","2022-27","2022-28","2022-29","2022-30","2022-31","2022-32","2022-33","2022-34","2022-35","2022-36","2022-37","2022-38","2022-39","2022-40","2022-41","2022-42","2022-43","2022-44","2022-45","2022-46","2022-47","2022-48","2022-49","2022-50","2022-51","2022-52","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2023-13","2023-14","2023-15","2023-16","2023-17","2023-18","2023-19","2023-20","2023-21","2023-22","2023-23","2023-24","2023-25","2023-26","2023-27","2023-28","2023-29","2023-30","2023-31","2023-32","2023-33","2023-34","2023-35","2023-36","2023-37","2023-38","2023-39"
"11001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,1,0,0,0,0,0,0,5,5,3,4,1,0,4,5,0,0,0,1,2,0,8,1,17,0,1,3,1,0,3,26,4,202,646,503,755,900,1669,1264,1570,1940,2145,2941,2193,2059,1356,931,1282,1887,1375,1542,1251,1360,1011,881,552,798,637,492,407,558,379,279,496,434,305,239,278,426,534,307,1005,737,654,437,428,349,215,263,342,201,138,152,156,117,118,71,79,110,65,83,109,133,235,258,152,117,92,72,81,133,116,90,90,135,48,44,689,521,526,474,893,671,962,698,1048,800,915,922,762,604,220,225,454,422,256,184,170,171,174,121,131,116,155,97,122,88,110
"11002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,3,2,88,650,1235,416,651,742,891,659,1199,1429,2547,2105,2305,1699,1474,1467,2278,1735,1557,1473,1484,1365,1985,887,1300,1174,1089,906,926,545,534,780,928,667,462,475,530,780,649,1298,902,1202,725,773,556,349,368,615,279,148,107,157,149,152,91,58,115,101,52,110,259,214,201,264,169,143,61,119,169,109,85,74,74,83,51,546,1005,1096,472,500,355,970,654,743,603,805,676,366,478,271,307,317,259,138,161,125,132,106,118,79,65,82,45,65,112,41
"11003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,4,0,1,3,1,3,0,258,1095,1839,1137,1930,2621,2398,2126,2207,4958,6722,5270,6280,2553,2485,3152,4763,3231,3241,3002,3124,3423,3682,1821,2956,2935,2101,1534,1580,1169,824,1280,1109,839,694,748,1292,1186,1071,1906,1608,1691,1063,760,1062,584,484,584,425,383,420,377,249,279,191,198,180,189,53,170,293,233,315,204,305,172,143,123,228,224,186,142,149,135,117,1122,862,549,488,763,702,1389,1263,1137,982,871,763,690,605,234,222,448,339,291,254,226,265,170,123,172,151,159,83,107,63,69
"11004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,3,1,0,6,1,2,1,2,3,12,8,131,811,3403,2551,2077,4005,5199,3666,4242,4844,7115,8214,7394,7251,4611,4030,8114,7681,7405,4786,4737,5335,6005,5161,3043,4675,4552,3643,2530,3282,2448,2587,3511,2566,2480,1829,1561,2838,2263,1865,4038,3049,3468,3193,2130,2355,1872,1532,1626,1218,840,691,814,717,532,574,585,856,391,181,640,836,999,783,621,719,486,353,412,552,483,375,478,476,567,138,4477,2782,2887,3340,2885,1573,4669,3760,3811,2526,3203,3734,2411,2238,955,1438,1322,1187,739,983,1041,874,852,675,656,665,649,443,655,496,327
"11005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,1,0,2,0,0,0,72,699,425,271,1008,948,902,551,989,1580,2961,1683,2265,1047,884,1372,1096,2011,1451,2183,1662,1200,1604,1027,1337,1196,679,1139,666,524,536,810,434,269,322,358,494,531,447,468,314,511,546,388,394,179,235,300,219,110,106,101,134,235,61,67,113,68,33,96,124,151,182,117,103,80,35,84,120,92,53,46,80,49,94,341,459,261,200,352,277,763,571,718,446,605,527,441,386,165,185,179,147,114,113,66,86,60,66,77,67,100,38,51,33,39
"11006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,237,767,860,645,941,1407,1359,862,1087,1412,3052,1396,1887,1261,780,992,1570,1914,2725,1516,1276,1778,1301,973,1640,1780,723,776,653,425,642,907,554,502,383,433,584,745,530,1001,944,812,648,567,500,326,319,439,303,113,165,204,139,133,132,132,118,88,44,100,151,155,120,187,201,88,7,136,219,166,80,81,123,143,48,771,403,430,499,603,448,1165,949,438,870,895,639,405,564,221,195,290,236,210,143,286,181,152,111,149,168,163,118,123,120,84
"11007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,141,154,105,130,174,201,347,151,275,380,398,645,227,260,401,510,406,409,332,328,370,342,112,179,200,70,149,127,98,82,115,56,91,39,43,92,95,101,245,155,130,71,121,134,47,61,106,42,31,20,23,13,21,10,56,95,27,10,15,28,43,9,20,24,14,1,31,39,13,16,10,22,31,31,105,108,58,55,72,75,213,194,155,123,140,174,150,116,54,40,50,75,35,37,38,37,33,21,9,15,20,12,20,6,8
"12001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,38,83,196,142,163,123,164,202,265,742,549,571,878,575,371,899,826,923,761,559,752,851,537,250,527,516,321,313,348,166,203,367,281,221,223,222,276,282,130,476,409,314,439,278,359,119,175,235,78,189,89,36,75,34,44,15,41,26,41,58,117,99,61,38,63,23,17,38,71,16,25,42,20,23,36,232,266,181,136,109,50,97,288,428,308,107,244,288,364,149,70,112,236,70,137,133,94,59,46,69,51,75,108,158,88,73
"12002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,3,2,0,0,0,0,0,0,0,0,0,4,0,0,2,2,1,4,7,3,325,339,375,921,1398,1046,1010,1122,1209,1427,3207,3763,5132,5168,5600,6739,5469,7851,9980,10023,9381,7280,8537,6140,6531,4044,5453,5535,4786,4893,3348,1633,2154,2758,2538,1587,1608,1579,2095,2582,2292,3599,3945,5004,5109,4330,7531,2926,1674,1648,1148,968,404,661,464,514,346,338,380,276,243,541,804,859,639,501,509,316,336,278,373,345,303,347,382,448,252,2791,2164,2071,1756,1339,706,1936,1604,3604,3127,3788,3390,4460,2455,1358,965,1450,1055,540,653,693,914,346,282,411,625,471,162,346,292,129
"12003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,2,0,0,0,4,122,61,456,400,337,402,513,578,489,660,1533,1151,1865,1169,2056,1536,1740,4068,4006,2779,3349,2849,3144,2188,1108,1183,1893,1715,1061,1141,599,755,949,745,512,341,482,570,796,659,1143,723,935,955,1336,1864,1388,573,533,574,440,200,490,311,105,457,179,220,131,152,160,156,334,323,311,347,200,79,86,114,78,133,295,111,228,98,323,546,1015,575,365,156,707,952,765,607,736,976,1384,2057,543,330,444,579,352,263,309,522,281,391,381,257,269,38,73,142,109
