"Regiao","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185"
11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.05,0.05,0.14,0.44,0.68,1.03,1.45,2.23,2.82,3.55,4.45,5.45,6.82,7.84,8.8,9.43,9.86,10.46,11.34,11.98,12.7,13.28,13.91,14.39,14.8,15.05,15.42,15.72,15.95,16.14,16.4,16.58,16.71,16.94,17.14,17.28,17.39,17.52,17.72,17.97,18.11,18.58,18.92,19.23,19.43,19.63,19.79,19.89,20.02,20.17,20.27,20.33,20.4,20.48,20.53,20.59,20.62,20.66,20.71,20.74,20.78,20.83,20.89,21,21.12,21.19,21.24,21.29,21.32,21.36,21.42,21.47,21.52,21.56,21.62,21.64,21.66,21.98,22.23,22.47,22.69,23.11,23.42,23.87,24.19,24.68,25.05,25.48,25.91,26.26,26.55,26.65,26.75,26.96,27.16,27.28,27.37,27.44,27.52,27.61,27.66,27.72,27.78,27.85,27.89,27.95,27.99
11002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.06,0.45,1.19,1.44,1.84,2.28,2.82,3.22,3.94,4.8,6.33,7.6,8.99,10.01,10.9,11.78,13.15,14.2,15.13,16.02,16.92,17.74,18.93,19.47,20.25,20.96,21.61,22.16,22.71,23.04,23.36,23.83,24.39,24.79,25.07,25.36,25.68,26.15,26.54,27.32,27.86,28.59,29.02,29.49,29.82,30.03,30.25,30.62,30.79,30.88,30.95,31.04,31.13,31.22,31.28,31.31,31.38,31.44,31.47,31.54,31.7,31.82,31.95,32.1,32.21,32.29,32.33,32.4,32.5,32.57,32.62,32.66,32.71,32.76,32.79,33.12,33.72,34.38,34.67,34.97,35.18,35.77,36.16,36.61,36.97,37.45,37.86,38.08,38.37,38.53,38.72,38.91,39.06,39.15,39.24,39.32,39.4,39.46,39.53,39.58,39.62,39.67,39.7,39.74,39.8
11003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.09,0.42,0.99,1.34,1.93,2.74,3.48,4.13,4.81,6.34,8.41,10.03,11.96,12.75,13.51,14.48,15.95,16.95,17.94,18.87,19.83,20.88,22.02,22.58,23.49,24.39,25.04,25.51,26,26.36,26.61,27,27.34,27.6,27.82,28.05,28.44,28.81,29.14,29.73,30.22,30.74,31.07,31.3,31.63,31.81,31.96,32.14,32.27,32.39,32.52,32.63,32.71,32.79,32.85,32.91,32.97,33.03,33.04,33.1,33.19,33.26,33.36,33.42,33.51,33.57,33.61,33.65,33.72,33.79,33.84,33.89,33.93,33.97,34.01,34.36,34.62,34.79,34.94,35.18,35.39,35.82,36.21,36.56,36.86,37.13,37.36,37.58,37.76,37.83,37.9,38.04,38.14,38.23,38.31,38.38,38.46,38.52,38.55,38.61,38.65,38.7,38.73,38.76,38.78
11004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.03,0.18,0.79,1.25,1.62,2.34,3.28,3.94,4.7,5.57,6.85,8.33,9.66,10.96,11.79,12.52,13.98,15.36,16.69,17.55,18.4,19.36,20.44,21.37,21.92,22.76,23.58,24.23,24.69,25.28,25.72,26.18,26.81,27.27,27.72,28.05,28.33,28.84,29.25,29.58,30.31,30.86,31.48,32.06,32.44,32.86,33.2,33.47,33.77,33.99,34.14,34.26,34.41,34.54,34.63,34.74,34.84,34.99,35.06,35.1,35.21,35.36,35.54,35.68,35.8,35.92,36.01,36.08,36.15,36.25,36.34,36.4,36.49,36.57,36.68,36.7,37.51,38.01,38.53,39.13,39.65,39.93,40.77,41.44,42.13,42.58,43.16,43.83,44.27,44.67,44.84,45.1,45.34,45.55,45.68,45.86,46.05,46.2,46.36,46.48,46.6,46.72,46.83,46.91,47.03,47.12
11005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07,0.62,0.95,1.16,1.95,2.7,3.4,3.84,4.61,5.85,8.17,9.49,11.27,12.09,12.78,13.86,14.72,16.3,17.43,19.15,20.45,21.39,22.65,23.45,24.5,25.44,25.97,26.87,27.39,27.8,28.22,28.86,29.2,29.41,29.66,29.94,30.33,30.74,31.09,31.46,31.71,32.11,32.54,32.84,33.15,33.29,33.48,33.71,33.88,33.97,34.05,34.13,34.24,34.42,34.47,34.52,34.61,34.66,34.69,34.76,34.86,34.98,35.12,35.21,35.29,35.36,35.39,35.45,35.55,35.62,35.66,35.69,35.76,35.8,35.87,36.14,36.5,36.7,36.86,37.13,37.35,37.95,38.4,38.96,39.31,39.79,40.2,40.54,40.85,40.98,41.12,41.26,41.38,41.47,41.56,41.61,41.68,41.72,41.77,41.83,41.89,41.97,42,42.04,42.06
11006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.67,1.23,1.66,2.28,3.2,4.1,4.67,5.38,6.32,8.33,9.25,10.49,11.32,11.83,12.49,13.52,14.78,16.58,17.58,18.42,19.59,20.45,21.09,22.17,23.34,23.82,24.33,24.76,25.04,25.47,26.06,26.43,26.76,27.01,27.3,27.68,28.17,28.52,29.18,29.8,30.34,30.77,31.14,31.47,31.68,31.89,32.18,32.38,32.46,32.57,32.7,32.79,32.88,32.97,33.05,33.13,33.19,33.22,33.28,33.38,33.49,33.57,33.69,33.82,33.88,33.88,33.97,34.12,34.23,34.28,34.33,34.41,34.51,34.54,35.05,35.31,35.6,35.93,36.32,36.62,37.39,38.01,38.3,38.87,39.46,39.88,40.15,40.52,40.67,40.8,40.99,41.14,41.28,41.38,41.56,41.68,41.78,41.86,41.96,42.07,42.17,42.25,42.33,42.41
11007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.4,0.78,1.04,1.37,1.8,2.3,3.17,3.55,4.23,5.18,6.17,7.78,8.35,9,10,11.27,12.28,13.3,14.13,14.95,15.87,16.72,17,17.45,17.95,18.12,18.5,18.81,19.06,19.26,19.55,19.69,19.92,20.01,20.12,20.35,20.59,20.84,21.45,21.84,22.16,22.34,22.64,22.97,23.09,23.24,23.51,23.61,23.69,23.74,23.8,23.83,23.88,23.91,24.05,24.28,24.35,24.38,24.41,24.48,24.59,24.61,24.66,24.72,24.76,24.76,24.84,24.94,24.97,25.01,25.03,25.09,25.16,25.24,25.5,25.77,25.92,26.06,26.23,26.42,26.95,27.44,27.82,28.13,28.48,28.91,29.29,29.58,29.71,29.81,29.94,30.12,30.21,30.3,30.4,30.49,30.57,30.63,30.65,30.69,30.74,30.77,30.82,30.83
12001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.07,0.18,0.46,0.66,0.89,1.06,1.29,1.58,1.95,2.99,3.76,4.57,5.8,6.61,7.13,8.4,9.56,10.86,11.93,12.71,13.77,14.97,15.72,16.07,16.82,17.54,17.99,18.43,18.92,19.16,19.44,19.96,20.35,20.66,20.98,21.29,21.68,22.07,22.26,22.93,23.5,23.94,24.56,24.95,25.46,25.62,25.87,26.2,26.31,26.58,26.7,26.75,26.86,26.91,26.97,26.99,27.05,27.08,27.14,27.22,27.39,27.53,27.61,27.67,27.75,27.79,27.81,27.86,27.96,27.99,28.02,28.08,28.11,28.14,28.19,28.52,28.89,29.15,29.34,29.49,29.56,29.7,30.1,30.7,31.14,31.29,31.63,32.04,32.55,32.76,32.86,33.01,33.35,33.44,33.64,33.82,33.96,34.04,34.1,34.2,34.27,34.38,34.53,34.75,34.88
12002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.07,0.13,0.2,0.38,0.64,0.84,1.04,1.25,1.48,1.75,2.36,3.07,4.05,5.03,6.1,7.38,8.42,9.91,11.81,13.71,15.5,16.88,18.5,19.67,20.91,21.68,22.72,23.77,24.68,25.61,26.24,26.55,26.96,27.49,27.97,28.27,28.58,28.88,29.28,29.77,30.2,30.89,31.64,32.59,33.56,34.38,35.81,36.37,36.69,37,37.22,37.4,37.48,37.61,37.69,37.79,37.86,37.92,37.99,38.05,38.09,38.2,38.35,38.51,38.63,38.73,38.83,38.89,38.95,39,39.07,39.14,39.2,39.26,39.33,39.42,39.47,40,40.41,40.8,41.14,41.39,41.53,41.89,42.2,42.88,43.48,44.2,44.84,45.69,46.16,46.42,46.6,46.87,47.07,47.18,47.3,47.43,47.61,47.67,47.73,47.8,47.92,48.01,48.04,48.11,48.16
12003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.06,0.09,0.28,0.45,0.6,0.77,0.99,1.24,1.45,1.73,2.39,2.88,3.69,4.19,5.07,5.73,6.48,8.22,9.95,11.14,12.58,13.8,15.15,16.09,16.57,17.07,17.89,18.62,19.08,19.57,19.83,20.15,20.56,20.88,21.1,21.25,21.45,21.7,22.04,22.32,22.81,23.12,23.52,23.93,24.51,25.31,25.91,26.15,26.38,26.63,26.82,26.9,27.11,27.25,27.29,27.49,27.56,27.66,27.71,27.78,27.85,27.92,28.06,28.2,28.33,28.48,28.57,28.6,28.64,28.69,28.72,28.78,28.9,28.95,29.05,29.09,29.23,29.46,29.9,30.15,30.3,30.37,30.67,31.08,31.41,31.67,31.99,32.41,33,33.89,34.12,34.26,34.45,34.7,34.85,34.96,35.1,35.32,35.44,35.61,35.77,35.88,36,36.02,36.05,36.11
