"code_saude_13","2020-12","2020-13","2020-14","2020-15","2020-16","2020-17","2020-18","2020-19","2020-20","2020-21","2020-22","2020-23","2020-24","2020-25","2020-26","2020-27","2020-28","2020-29","2020-30","2020-31","2020-32","2020-33","2020-34","2020-35","2020-36","2020-37","2020-38","2020-39","2020-40","2020-41","2020-42","2020-43","2020-44","2020-45","2020-46","2020-47","2020-48","2020-49","2020-50","2020-51","2020-52","2020-53","2021-01","2021-02","2021-03","2021-04","2021-05","2021-06","2021-07","2021-08","2021-09","2021-10","2021-11","2021-12","2021-13","2021-14","2021-15","2021-16","2021-17","2021-18","2021-19","2021-20","2021-21","2021-22","2021-23","2021-24","2021-25","2021-26","2021-27","2021-28","2021-29","2021-30","2021-31","2021-32","2021-33","2021-34","2021-35","2021-36","2021-37","2021-38","2021-39","2021-40","2021-41","2021-42","2021-43","2021-44","2021-45","2021-46","2021-47","2021-48","2021-49","2021-50","2021-51","2021-52","2022-01","2022-02","2022-03","2022-04","2022-05","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2022-13","2022-14","2022-15","2022-16","2022-17","2022-18","2022-19","2022-20","2022-21","2022-22","2022-23","2022-24","2022-25","2022-26","2022-27","2022-28","2022-29","2022-30","2022-31","2022-32","2022-33","2022-34","2022-35","2022-36","2022-37","2022-38","2022-39","2022-40","2022-41","2022-42","2022-43","2022-44","2022-45","2022-46","2022-47","2022-48","2022-49","2022-50","2022-51","2022-52","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2023-13","2023-14","2023-15","2023-16","2023-17","2023-18","2023-19","2023-20","2023-21","2023-22","2023-23","2023-24","2023-25","2023-26","2023-27","2023-28","2023-29","2023-30","2023-31","2023-32","2023-33","2023-34","2023-35","2023-36","2023-37","2023-38","2023-39"
"11001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,25,636,687,146,1185,578,341,208,1002,1771,1979,3891,2307,1108,2132,619,387,203,180,152,868,793,2837,5776,3725,4096,3708,3873,4061,6610,7722,5582,4417,3906,4020,7764,8406,6923,3669,4675,3110,3539,3542,2437,2099,1306,804,673,743,504,405,363,371,206,223,118,199,138,249,259,310,231,195,246,212,251,210,210,203,210,128,325,188,239,150,172,155,120,149,180,164,87,96,124,80,98,79,67,111,79,69,87,108,126,151,117,99,52,32,33,60,73,45,42,69,47,34,68,61,56,65,77,50,65,49,53,38,74,66,66,58,37,37,53,25,44,27,36,29,24,29,43,20,35,8,37,23,32
"11002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,4,1165,966,533,1810,512,326,69,436,1031,1541,1939,1112,783,2489,2029,344,443,234,899,1448,411,665,2488,3112,2812,3510,3739,3209,6088,5638,3140,3950,2956,3851,3510,7413,6548,7075,5988,3151,3264,4658,2475,1075,700,607,459,618,512,671,367,507,327,294,150,291,224,212,355,451,343,425,309,335,275,207,262,333,291,174,280,200,177,142,124,135,125,111,177,106,72,104,77,55,99,123,93,125,89,31,50,136,73,67,88,89,61,26,55,86,51,59,49,42,58,18,37,38,45,34,65,16,65,60,42,43,45,49,21,21,24,41,40,3,17,43,21,24,12,19,17,15,12,0,10,42,14
"11003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,35,1403,944,807,1916,1850,426,512,2139,1766,3023,6448,3229,1513,1989,1166,488,451,230,647,1320,566,2986,6632,5501,9837,9247,5717,6174,12136,6729,6748,6203,6746,6923,16751,13433,9556,5544,7196,7564,8345,6804,3013,2776,1169,1043,868,1271,946,791,718,630,507,567,312,448,439,595,527,719,449,447,554,423,449,316,308,394,451,293,525,359,379,268,256,340,157,191,253,180,199,139,140,110,139,145,127,145,87,67,127,125,106,144,87,143,84,72,79,120,115,62,54,109,122,77,61,96,69,67,80,47,48,68,93,64,53,41,36,56,37,40,26,37,27,43,37,30,16,20,32,30,24,6,20,17,12
"11004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,67,45,2583,4545,3254,482,1259,1208,720,1774,1902,9921,5484,5819,6995,7714,2472,1389,1122,510,532,644,623,3635,6568,11013,10727,10666,16072,18801,17803,19681,10821,12684,8438,11812,22200,23926,16809,11285,12288,9967,12829,13457,7884,5809,2512,2223,2984,2703,2678,1732,1966,1771,1880,1235,530,1122,1056,1303,1100,1476,1081,1300,1318,1341,1638,994,811,1075,839,862,1137,839,863,946,749,953,653,605,705,568,391,294,421,363,383,444,403,669,294,110,408,332,440,416,331,468,272,179,169,199,230,187,178,380,290,80,388,318,360,433,268,166,321,262,280,204,265,310,229,194,112,132,183,145,145,226,192,124,108,167,160,112,140,73,95,94,77
"11005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,29,392,386,486,282,918,334,252,694,422,1510,2223,1544,906,1573,1044,212,170,84,310,265,731,614,1639,1988,1906,1204,2128,4936,3839,3630,2417,3096,4581,2494,3076,7987,4754,4921,4309,2572,3322,3261,1201,714,343,305,281,252,484,378,296,353,161,176,105,131,112,283,325,518,352,322,314,193,213,137,190,235,229,158,163,166,183,153,192,201,108,114,201,158,119,55,76,84,96,86,60,85,48,14,56,37,58,88,62,66,40,21,44,115,55,38,28,64,53,39,28,63,39,52,41,24,33,21,44,14,26,21,25,33,10,19,24,19,10,12,27,18,7,16,15,15,9,1,9,10,14
"11006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,9,505,718,291,1378,452,262,199,326,649,1570,2962,1388,702,2576,205,221,336,175,111,266,306,1051,2625,2432,1225,1355,3443,3026,4260,3846,5278,5379,3535,3607,3521,8151,7698,3673,3070,3439,3759,5247,1646,1239,651,479,487,483,431,688,363,293,269,226,139,207,208,170,286,501,202,341,389,215,235,172,170,317,212,146,249,161,207,195,159,148,84,124,164,113,84,84,106,81,100,64,73,125,77,20,42,84,65,63,83,79,41,8,51,73,75,31,30,48,73,28,52,39,45,50,42,35,69,108,37,52,41,62,37,45,28,50,46,17,17,31,34,31,12,27,32,30,22,5,29,40,23
"11007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,65,67,60,69,198,104,45,86,116,196,537,480,770,345,98,42,42,37,38,310,86,640,938,593,670,1391,705,781,1410,1114,1227,754,603,629,1343,1202,911,496,773,366,426,423,256,344,118,127,104,137,94,81,70,95,50,73,40,45,32,22,56,82,53,65,81,26,72,44,61,73,78,20,76,43,45,28,36,63,22,44,30,13,30,9,29,30,11,22,45,66,20,5,10,11,26,25,19,12,16,4,23,18,19,19,3,21,15,17,19,19,9,7,20,6,13,24,14,14,13,12,17,8,5,2,10,6,7,3,13,6,5,10,6,7,2,3,6,5,7
"12001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,81,209,172,223,85,196,176,148,142,259,313,629,1171,895,509,332,464,345,356,241,261,557,379,741,973,1034,1257,2367,1844,1960,1321,1001,1555,1755,1435,1062,916,935,727,849,838,571,1315,1078,894,794,347,197,373,432,358,252,128,169,276,149,103,191,220,212,257,290,165,193,345,244,227,120,205,145,180,96,214,234,138,181,124,136,162,103,115,73,100,53,59,75,36,30,19,34,42,42,52,65,33,24,31,34,32,12,32,75,24,22,24,26,37,44,119,69,62,58,30,18,46,65,60,43,15,41,71,48,25,10,26,50,21,25,17,18,11,13,17,17,24,17,38,27,16
"12002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,16,406,2305,2199,462,997,1246,1123,1275,2407,2999,1694,7495,4866,2951,1599,4695,4233,1463,958,9014,8213,6273,4706,6791,9409,15955,13964,7548,5907,15297,12013,17061,15871,20904,17444,8133,10350,7710,5616,9209,9684,7444,9723,7619,6615,3767,2194,2982,3382,3178,3044,2184,2253,2304,2272,1197,1743,2147,2511,2397,2271,1314,1495,2000,1387,1226,884,976,1041,984,778,1354,1322,1508,1693,1128,1684,1475,735,676,682,647,285,500,475,305,290,255,311,255,212,534,507,492,336,359,425,256,185,161,227,226,269,213,290,369,126,367,335,351,287,210,133,229,196,219,143,151,211,159,127,106,59,96,90,55,70,120,88,32,43,65,111,94,45,62,65,29
"12003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,3,2134,1210,908,403,406,369,323,791,1414,907,2112,2098,1762,969,706,1728,1719,925,1162,2574,1891,2284,2997,3408,6146,7715,6484,9860,5642,4140,4821,4760,3798,3893,2695,3269,2439,2438,3138,1705,2661,2182,2363,1740,1501,804,815,1109,1410,1284,1534,916,1203,1036,681,615,990,858,878,921,459,889,1005,815,700,527,558,426,468,298,830,515,484,386,655,834,750,461,403,431,411,126,446,262,92,138,96,209,114,90,120,129,191,300,211,226,155,73,49,70,54,130,223,69,161,80,134,147,442,172,126,44,139,219,86,62,63,175,146,323,69,61,111,139,110,34,89,130,69,149,102,111,102,26,22,63,35
